SKU,category,product_name,quantity_on_hand,supplier_id,reorder_point
HOME-008,Home & Kitchen,Shower Curtain,164,SUP-032,160
HOME-009,Home & Kitchen,Storage Containers,252,SUP-033,160
HOME-010,Home & Kitchen,Wall Clock Modern,152,SUP-033,160
JEWELRY-001,Jewelry & Accessories,Charm Bracelet,236,SUP-034,160
JEWELRY-002,Jewelry & Accessories,Leather Wallet,259,SUP-034,160
JEWELRY-003,Jewelry & Accessories,Minimalist Watch,151,SUP-034,160
JEWELRY-004,Jewelry & Accessories,Phone Case Designer,171,SUP-034,160
JEWELRY-005,Jewelry & Accessories,Ring Set 5pc,154,SUP-035,160
JEWELRY-006,Jewelry & Accessories,Silk Scarf,202,SUP-035,160
JEWELRY-007,Jewelry & Accessories,Sterling Silver Necklace,236,SUP-036,160
JEWELRY-008,Jewelry & Accessories,Stud Earrings Gold,184,SUP-037,160
JEWELRY-009,Jewelry & Accessories,Sunglasses UV400,203,SUP-037,160
JEWELRY-010,Jewelry & Accessories,Tote Bag Canvas,315,SUP-037,160
OFFICE-001,Office Supplies,Desk Organizer,222,SUP-038,160
OFFICE-002,Office Supplies,Ergonomic Chair,198,SUP-038,160
OFFICE-003,Office Supplies,File Folders 50pk,174,SUP-038,160
OFFICE-004,Office Supplies,Notebook A5,263,SUP-038,160
OFFICE-005,Office Supplies,Pen Set Premium,157,SUP-038,160
OFFICE-006,Office Supplies,Standing Desk Converter,292,SUP-038,160
OFFICE-007,Office Supplies,Stapler Heavy Duty,153,SUP-039,160
OFFICE-008,Office Supplies,Sticky Notes Bulk,341,SUP-039,160
OFFICE-009,Office Supplies,Whiteboard Markers,225,SUP-039,160
OFFICE-010,Office Supplies,Wireless Mouse,221,SUP-039,160
PET-001,Pet Supplies,Bird Cage Deluxe,283,SUP-040,160
PET-002,Pet Supplies,Cat Litter Clumping,315,SUP-040,160
PET-003,Pet Supplies,Chew Toy Set,303,SUP-040,160
PET-004,Pet Supplies,Dog Food Premium 5kg,257,SUP-040,160
PET-005,Pet Supplies,Dog Leash Retractable,224,SUP-040,160
PET-006,Pet Supplies,Fish Tank 10L,344,SUP-041,160
PET-007,Pet Supplies,Flea Collar,250,SUP-042,160
PET-008,Pet Supplies,Interactive Cat Toy,207,SUP-042,160
PET-009,Pet Supplies,Pet Carrier Soft,226,SUP-042,160
PET-010,Pet Supplies,Pet Shampoo Natural,184,SUP-042,160
SPORTS-001,Sports & Outdoors,Cycling Gloves,150,SUP-043,160
SPORTS-002,Sports & Outdoors,Dumbbell Set 20kg,191,SUP-043,160
SPORTS-003,Sports & Outdoors,Foam Roller,216,SUP-043,160
SPORTS-004,Sports & Outdoors,Hiking Backpack,291,SUP-043,160
SPORTS-005,Sports & Outdoors,Jump Rope Speed,264,SUP-044,160
SPORTS-006,Sports & Outdoors,Pull-up Bar,288,SUP-044,160
SPORTS-007,Sports & Outdoors,Resistance Bands Set,189,SUP-044,160
SPORTS-008,Sports & Outdoors,Tennis Racket,283,SUP-044,160
SPORTS-009,Sports & Outdoors,Water Bottle 1L,174,SUP-045,160
SPORTS-010,Sports & Outdoors,Yoga Mat Non-slip,234,SUP-045,160
TOYS-001,Toys & Games,Action Figure Set,287,SUP-046,160
TOYS-002,Toys & Games,Art Supply Kit,342,SUP-046,160
TOYS-003,Toys & Games,Board Game Strategy,172,SUP-046,160
TOYS-004,Toys & Games,Card Game Party,153,SUP-046,160
TOYS-005,Toys & Games,Educational Tablet,281,SUP-047,160
TOYS-006,Toys & Games,LEGO City Set,283,SUP-048,160
TOYS-007,Toys & Games,Outdoor Frisbee,274,SUP-048,160
TOYS-008,Toys & Games,Puzzle 1000pc,317,SUP-048,160
TOYS-009,Toys & Games,Remote Control Car,337,SUP-049,160
TOYS-010,Toys & Games,Stuffed Animal Bear,151,SUP-049,160
TRAVEL-001,Travel & Luggage,Compression Socks,194,SUP-050,160
TRAVEL-002,Travel & Luggage,Eye Mask Sleep,344,SUP-050,160
TRAVEL-003,Travel & Luggage,"Hardshell Luggage 24""",242,SUP-050,160
TRAVEL-004,Travel & Luggage,Money Belt,226,SUP-050,160
TRAVEL-005,Travel & Luggage,Packing Cubes 6-Set,176,SUP-050,160
TRAVEL-006,Travel & Luggage,Passport Holder RFID,300,SUP-051,160
TRAVEL-007,Travel & Luggage,Portable Scale,276,SUP-051,160
TRAVEL-008,Travel & Luggage,Toiletry Bag,319,SUP-051,160
TRAVEL-009,Travel & Luggage,Travel Adapter Universal,331,SUP-051,160
TRAVEL-010,Travel & Luggage,Travel Pillow Memory Foam,325,SUP-051,160
