SKU,supplier_id,avg_lead_time,supplier_status,on_time_deivery_rate,defect_rate,last_audit_date
CLOTHING-007,SUP-009,17,Active,85.67,1.6,21-01-24
CLOTHING-008,SUP-010,13,Active,85.19,2.37,14-01-24
CLOTHING-009,SUP-011,18,On Hold,74.57,2.74,05-12-24
CLOTHING-010,SUP-012,10,Active,94.91,1.6,14-02-26
ELECTRONICS-001,SUP-013,14,Active,98.19,0.8,22-01-25
ELECTRONICS-002,SUP-013,11,Active,98.19,0.8,22-01-25
ELECTRONICS-003,SUP-013,13,Active,98.19,0.8,22-01-25
ELECTRONICS-004,SUP-014,14,Active,92.54,1.46,01-04-26
ELECTRONICS-005,SUP-014,18,Active,92.54,1.46,01-04-26
ELECTRONICS-006,SUP-014,20,Active,92.54,1.46,01-04-26
ELECTRONICS-007,SUP-015,14,Active,97.21,1.23,20-07-24
ELECTRONICS-008,SUP-015,17,Active,97.21,1.23,20-07-24
ELECTRONICS-009,SUP-016,16,On Hold,78.97,4.8,31-03-25
ELECTRONICS-010,SUP-016,11,On Hold,78.97,4.8,31-03-25
FOOD-001,SUP-017,17,Active,92.55,2.41,25-12-25
FOOD-002,SUP-018,15,Active,88.93,2.11,04-08-24
FOOD-003,SUP-019,12,Active,92.87,0.52,15-01-24
FOOD-004,SUP-020,15,Active,85.23,1.17,08-05-24
FOOD-005,SUP-020,19,Active,85.23,1.17,08-05-24
FOOD-006,SUP-020,17,Active,85.23,1.17,08-05-24
FOOD-007,SUP-020,13,Active,85.23,1.17,08-05-24
FOOD-008,SUP-021,20,Active,85.08,2.08,15-08-25
FOOD-009,SUP-022,14,Active,96.46,1.59,04-05-25
FOOD-010,SUP-023,16,Active,86.68,2.19,19-04-26
HEALTH-001,SUP-024,17,Active,86.38,1.05,27-07-25
HEALTH-002,SUP-024,12,Active,86.38,1.05,27-07-25
HEALTH-003,SUP-024,13,Active,86.38,1.05,27-07-25
HEALTH-004,SUP-024,12,Active,86.38,1.05,27-07-25
HEALTH-005,SUP-025,19,Active,95.58,1.67,30-06-25
HEALTH-006,SUP-025,18,Active,95.58,1.67,30-06-25
HEALTH-007,SUP-025,20,Active,95.58,1.67,30-06-25
HEALTH-008,SUP-025,14,Active,95.58,1.67,30-06-25
HEALTH-009,SUP-025,18,Active,95.58,1.67,30-06-25
HEALTH-010,SUP-026,13,Active,86.73,1.84,07-02-26
HOME-001,SUP-027,10,Active,88.42,0.79,05-03-26
HOME-002,SUP-028,16,Active,91.2,0.26,05-04-25
HOME-003,SUP-028,10,Active,91.2,0.26,05-04-25
HOME-004,SUP-028,19,Active,91.2,0.26,05-04-25
HOME-005,SUP-029,11,Active,97.99,1.29,05-04-24
HOME-006,SUP-030,18,Active,87.02,1.59,16-10-25
HOME-007,SUP-031,17,Active,88.32,0.38,29-11-25
HOME-008,SUP-032,16,Active,97.77,1.64,27-07-25
HOME-009,SUP-033,18,Active,97.64,2.05,09-07-25
HOME-010,SUP-033,20,Active,97.64,2.05,09-07-25
JEWELRY-001,SUP-034,10,Active,97.81,0.95,13-12-24
JEWELRY-002,SUP-034,17,Active,97.81,0.95,13-12-24
JEWELRY-003,SUP-034,20,Active,97.81,0.95,13-12-24
JEWELRY-004,SUP-034,18,Active,97.81,0.95,13-12-24
JEWELRY-005,SUP-035,18,Active,98.15,0.83,09-10-24
JEWELRY-006,SUP-035,12,Active,98.15,0.83,09-10-24
JEWELRY-007,SUP-036,12,Active,96.86,2.18,24-12-24
JEWELRY-008,SUP-037,18,Active,92.74,1.32,12-08-24
JEWELRY-009,SUP-037,19,Active,92.74,1.32,12-08-24
JEWELRY-010,SUP-037,10,Active,92.74,1.32,12-08-24
OFFICE-001,SUP-038,10,Active,89.9,2.37,08-01-25
OFFICE-002,SUP-038,11,Active,89.9,2.37,08-01-25
OFFICE-003,SUP-038,14,Active,89.9,2.37,08-01-25
OFFICE-004,SUP-038,10,Active,89.9,2.37,08-01-25
OFFICE-005,SUP-038,17,Active,89.9,2.37,08-01-25
OFFICE-006,SUP-038,11,Active,89.9,2.37,08-01-25
OFFICE-007,SUP-039,16,Active,93.09,1.13,09-04-26
OFFICE-008,SUP-039,19,Active,93.09,1.13,09-04-26
OFFICE-009,SUP-039,18,Active,93.09,1.13,09-04-26
OFFICE-010,SUP-039,20,Active,93.09,1.13,09-04-26
PET-001,SUP-040,12,Blacklisted,69.25,7.52,20-01-25
PET-002,SUP-040,20,Blacklisted,69.25,7.52,20-01-25
PET-003,SUP-040,18,Blacklisted,69.25,7.52,20-01-25
PET-004,SUP-040,10,Blacklisted,69.25,7.52,20-01-25
PET-005,SUP-040,15,Blacklisted,69.25,7.52,20-01-25
PET-006,SUP-041,12,Active,87.15,2.49,29-11-25
PET-007,SUP-042,10,Active,92.29,0.32,05-01-26
PET-008,SUP-042,20,Active,92.29,0.32,05-01-26
PET-009,SUP-042,12,Active,92.29,0.32,05-01-26
PET-010,SUP-042,18,Active,92.29,0.32,05-01-26
SPORTS-001,SUP-043,18,Inactive,78.59,1.43,14-11-25
SPORTS-002,SUP-043,12,Inactive,78.59,1.43,14-11-25
SPORTS-003,SUP-043,13,Inactive,78.59,1.43,14-11-25
SPORTS-004,SUP-043,12,Inactive,78.59,1.43,14-11-25
SPORTS-005,SUP-044,19,Active,93.02,1.56,14-03-25
SPORTS-006,SUP-044,17,Active,93.02,1.56,14-03-25
SPORTS-007,SUP-044,13,Active,93.02,1.56,14-03-25
SPORTS-008,SUP-044,10,Active,93.02,1.56,14-03-25
SPORTS-009,SUP-045,15,Active,88.45,1.87,06-10-24
SPORTS-010,SUP-045,16,Active,88.45,1.87,06-10-24
TOYS-001,SUP-046,14,Active,99.26,1.12,25-05-25
TOYS-002,SUP-046,11,Active,99.26,1.12,25-05-25
TOYS-003,SUP-046,17,Active,99.26,1.12,25-05-25
TOYS-004,SUP-046,19,Active,99.26,1.12,25-05-25
TOYS-005,SUP-047,14,Active,97.11,0.94,21-11-24
TOYS-006,SUP-048,12,Active,97.45,0.95,06-02-25
TOYS-007,SUP-048,13,Active,97.45,0.95,06-02-25
TOYS-008,SUP-048,11,Active,97.45,0.95,06-02-25
TOYS-009,SUP-049,13,Active,96.74,1,11-12-25
TOYS-010,SUP-049,18,Active,96.74,1,11-12-25
TRAVEL-001,SUP-050,19,Active,95.02,1.09,03-12-24
TRAVEL-002,SUP-050,18,Active,95.02,1.09,03-12-24
TRAVEL-003,SUP-050,14,Active,95.02,1.09,03-12-24
TRAVEL-004,SUP-050,18,Active,95.02,1.09,03-12-24
TRAVEL-005,SUP-050,16,Active,95.02,1.09,03-12-24
TRAVEL-006,SUP-051,17,On Hold,80.14,4.34,30-05-24
TRAVEL-007,SUP-051,18,On Hold,80.14,4.34,30-05-24
TRAVEL-008,SUP-051,12,On Hold,80.14,4.34,30-05-24
TRAVEL-009,SUP-051,19,On Hold,80.14,4.34,30-05-24
TRAVEL-010,SUP-051,16,On Hold,80.14,4.34,30-05-24
